score,at,content
5,2025 09 08 11 51 45,bagus tapi tidak bisa cod
5,2025 09 08 11 30 25,senang banget belanja di shopee hargany murah bisa gratis ongkir bisa cod lagi pokoknya its the bets deh
5,2025 09 08 10 56 20,baik sy sering belanja but bisa gk min cantumkan kira kira jam brp akan smpai karna kan kita kadang lagi keluar trus tu paket cod jadi repot terimakasih
1,2025 09 08 10 35 50,saya kecewa pada pihak shopee saya mau belanja arus bayar dulu sebelum nya saya selalu cod dan kini tidak bisa cod lagu dan saat saya telusuri penyebab nya pesan nan saya di bilang gagal dan gagal itu bukan karena saya tidak mau bayar dan pada saat pesanan saya tiba saat itu saya ada kemalangan keluarga dan esok ari nya saya cek dan saya suruh kirim balik ke alamat saya namun sampai sekarang tidak sampai yang batalin bukan saya
1,2025 09 08 05 55 40,halo developer shopee kenapa saya tidak bisa cod di bagian manokwari sesuai dengan alamat saya di daerah lain bisa tapi manokwari tidak bisa anehnya di hp teman atau tetangga saya mereka masih bisa cod apa ada yang salah padahal saya tidak pernah cancel pesanan juga
1,2025 09 08 01 04 39,aplikasi kaga guna masa fitur cod nya tidak bisa di gunakan gara gara salah kirim alamat dan di tolak si penerima dasar aplikasi gak guna lebih baik hapus aja dan pindah ke lazada
1,2025 09 08 00 30 20,sangat buruk cod saya di hilangkan dan sering terjadi paket gagal di kirm tau tau cansel otomatis padahal saya gak pernah cansel pesenan
5,2025 09 07 21 22 43,apk ini sangat amanah si untuk belanja online bgus si apk ini tapi knp ya kalau paket di retur tida bisa cod lagi tolong dong jgn begitu itu kurir yg suka ngertur nga jelas bukan dari saya
1,2025 09 07 21 04 45,kok nggk bisa cod an
1,2025 09 07 20 35 06,gk bisa cod
5,2025 09 07 18 20 31,baguss tapi tadi ga bisa codan terus sekarang bisa alhamdulillah aplikasii sangat membantu dan memuaskan
1,2025 09 07 18 04 29,fitur shopee ngebug semua produk tidak bisa cod
1,2025 09 07 17 35 26,pelayanan shoope akhir akhir ini makin jelek awal awal sih aman aja tapi sekarang pengiriman barang jadi lelet banget bahkan melebihi batas estimasi waktu nya dua minggu baru nyampe si kurir pernah gw kejadian gw beli barang cod dia bilang hari ini pesanan gw bakal nyampe tau taunya pesanan gw dikirim ke gudang lalu dikirim ke penjual lagi pas gw cek notifikasi nya katanya pembeli menolak pesanan dari pengirim lah kocak gw ada dirumah orang juga rame gw gk tau entah kurirnyayg t lol atau gimana
5,2025 09 07 17 20 37,suka bangett murah tapi ongkirr nyaa maahal bangett wkwk sering sering give awayy voucher gratis ongkir dongg buat cod
5,2025 09 07 17 14 35,menakjubkan cod dapat barang bagus lunas sekaligus tapi tidak pakai gerak bepergian hemat tenaga
3,2025 09 07 15 38 50,kenapa udh ngk bisa cod lagiii padahal kasian tau ngk ngk ngerti tranfer lewat aplikasi
5,2025 09 07 14 16 39,suka sih sama aplikasinya tapi sayang baru dua kali gk ngambil paketan masak gk bisa cod lagi
5,2025 09 07 14 16 34,suka sih tp sekarang gk bisa cod di akun saya padahal gk pernah return barang sedih gk bsa cod lg
1,2025 09 07 13 56 37,aplikasi rusak sekali return langsung keblokir gk bisa cod padahal sering blanja di apk ini walaupun pengiriman nya lama beettt
1,2025 09 07 12 47 07,anjiirr shopeelaternya gak bisa di gunain akun langsung di bekukan cuma gara spinjamnya belum kebayar lunas padahal spaylatter nya yang tadinya masih ada hutang udah kebayar lunas tinggal spinjam padahal setiap bulan selalu di bayar walaupun telat pasti selalu setoran dari dulu sebelum berhutang dishopee saya selalu belanja di shope gak semua lewat spaylatter kalo gak tunai selalu cod berarti tidak semua ngutang di shopee kecuali saya gak ada niat bayar setiap bulannya
1,2025 09 07 12 34 25,gk bisa dibuat cod
4,2025 09 07 12 18 58,kenapa shopee sekarang sering gak bisa cod
5,2025 09 07 11 56 24,selalu sesuai ekspektasi klo belanja di shopee lumayan sering belanja di shopee gk ribet bisa pakai cod jg makasih shopee
3,2025 09 07 11 15 23,tolong shopee klw bikin aturan yg jelas dan tertera di app maksimum cod ini maksudnya apa aturannya bagaimana mesti nya tertulis di app jgn tiba tiba fitur cod nya dibilang maksimum padahal kita tidak pernah melakukan kesalahan seperti retur barang sekalipun
5,2025 09 07 09 32 38,tapi kenapa akhir akhir ini cod sudah tidak bisa d akun saya padahal selalu belanja lewat shopee maaf jikabtdk berkenan
5,2025 09 07 08 55 15,terima kasih dengan adanya cod cek dulu menjadi jual beli online yang baik aman dan nyaman
